Dataset,Algoritmo,Configuracion,Ejecucion,Hypervolume,Tiempo,Generaciones_Iteraciones,Tamaño_Pareto,Num_Puntos_Pareto,Costo_Medio,Minutos_Medios
users4.json,NSGA-II,uniform_inversion_high_mutation,26,0.4332052332698549,3551.4814534187317,180,19,19,4724.37105263158,2073391.9352631576
users4.json,NSGA-II,uniform_inversion_high_mutation,27,0.14351487528490783,1829.118774652481,96,16,16,5233.87125,1917365.5118750054
users4.json,NSGA-II,uniform_inversion_high_mutation,28,0.24785037603649573,2431.3904588222504,125,15,15,5088.952666666667,1992760.1420000042
users4.json,NSGA-II,uniform_inversion_high_mutation,29,0.1480561905326288,1929.6042218208313,94,23,23,5314.541739130435,1932989.3108695678
users4.json,NSGA-II,uniform_inversion_high_mutation,30,0.11515802105143715,1662.3535361289978,75,14,14,5337.580000000002,1905958.8807142866
users4.json,NSGA-II,uniform_inversion_high_mutation,31,0.22297722995667985,1962.188146352768,85,9,9,5050.284444444445,1974693.2399999995
users5.json,NSGA-II,uniform_inversion_high_mutation,1,0.28708435028862606,3552.470190048218,127,19,19,8296.938947368422,3291562.0636842134
users5.json,NSGA-II,uniform_inversion_high_mutation,2,0.6146709145264158,4838.859654903412,181,17,17,7414.209411764707,3456373.463529418
users5.json,NSGA-II,uniform_inversion_high_mutation,3,0.9588674372673909,9646.176941156387,360,18,18,6706.723333333336,3596341.922777776
users5.json,NSGA-II,uniform_inversion_high_mutation,4,0.41455478794883605,3920.0836391448975,159,13,13,7858.588461538463,3358652.654615379
users5.json,NSGA-II,uniform_inversion_high_mutation,5,0.4372458592525222,3606.7126376628876,145,16,16,7810.498750000001,3400066.298749997
users5.json,NSGA-II,uniform_inversion_high_mutation,6,0.4722554884291703,6792.876486778259,268,20,20,7814.8515,3420047.0960000018
users5.json,NSGA-II,uniform_inversion_high_mutation,7,0.3975305524300315,3918.711320400238,154,22,22,8043.4227272727285,3381124.5863636318
users5.json,NSGA-II,uniform_inversion_high_mutation,8,0.4274285893595958,3369.2303943634033,133,12,12,7802.377500000001,3357918.343333339
users5.json,NSGA-II,uniform_inversion_high_mutation,9,0.3950733090767776,4635.525637626648,182,16,16,7904.227500000001,3362573.991249994
users5.json,NSGA-II,uniform_inversion_high_mutation,10,0.5629651760061954,4805.070225954056,181,22,22,7549.50272727273,3428061.0813636403
users5.json,NSGA-II,uniform_inversion_high_mutation,11,0.357612231790802,2801.1341774463654,107,15,15,8069.154666666667,3361414.239333333
users5.json,NSGA-II,uniform_inversion_high_mutation,12,0.4619636889029378,4847.472329378128,168,15,15,7807.588000000001,3430961.5979999946
users5.json,NSGA-II,uniform_inversion_high_mutation,13,0.7487449458268838,7326.49504160881,251,20,20,7049.874000000002,3467935.3855000003
users5.json,NSGA-II,uniform_inversion_high_mutation,14,0.43131251550953,3497.4191377162933,121,15,15,7867.832,3380758.0593333314
users5.json,NSGA-II,uniform_inversion_high_mutation,15,0.35175378409373814,3558.8843557834625,121,14,14,8054.549285714288,3331648.168571431
users5.json,NSGA-II,uniform_inversion_high_mutation,16,0.3612312860750709,3542.934910058975,123,17,17,8025.912941176472,3324727.0411764695
